sep=$
time$weeks$auditory$corp$name$teacher$format
10:00-11:30$2, 4, 6, 8, 10, 12, 14, 16$1124 ауд.$ул.Ломоносова, д.9, лит. М$Программирование(Лек)$Письмак Алексей Евгеньевич $Очно - дистанционный 
10:00-11:30$3, 7, 9, 11, 13, 15, 17$$ул.Ломоносова, д.9, лит. М$Основы профессиональной деятельности(Лек): актовый зал$Клименков Сергей Викторович $Очно - дистанционный 
10:00-11:30$5$$$Основы профессиональной деятельности(Лек): ZOOM$Клименков Сергей Викторович $Дистанционный 
